psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
100770,1,1,53,4,R,1,2,2,1,2,3,3,1,2,1,3,1,2,3,2,1,2,1,2,2,1,2,2,2,1, , , ,2, , , , , , , , , ,1, ,1,0, ,4,4,4,4,4,4,4,4,4,2,4,3,1,2,4,2,2,4, ,4,4,2,4,2,1,3, ,1,8,8,8,8,8, ,3,2,3,4,3, , , , ,4,500,2, , ,5,4,4,5,5,1,1,2,1,1,2,2,3,3,3,1, ,3,3,1,2,39,2,3,6,4,1,1,6,NA,2, , , ,99143,3.65625,1.195340963
100773,1,1,55,2,S,2,1,2,1,2,3,4,3,1,1,4,1,1,3,4,1,1,1,2,2,2,2,2,2,2,1,2, ,1,1,1,1,2, , , , , ,2, ,1, , ,1,4,4,2,4,4,4,4,4,2,2,4,1,2,2,2,2, , ,4,1,1,1,1,1, , ,1,8,2,8,8, , ,4,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62,2,4,5,1,2, ,1,7, ,2, , ,53092,2.1875,0.71516126
100776,1,1,24,3,S,2,1,2,1,1,1,3,1,1,1,3,2,2,1,3,1,2,1,2,2,1,2,2,1,1, , , ,1,2,2,2,1,2, ,1,0, ,10, ,7,0, ,1,2,2,1,4,2,1,2,4,1,1,1,2,1,4,1,2,2, ,2,8,2,1,4,2,4, ,1,1,1,1,8,4, ,4,4,4,4,4, , , ,5,2,180,2, , ,5,4,4,4,5,1,2,2,2,2,2,2,2,3,3,1,2,3,3,3,3,40,2,2,8,1,2, ,1,6, ,1, , ,21702,2.21875,0.725377849
100782,1,1,27,2,U,2,2,3,1,2,2,2,2,3,2,3,1,2,2,3,1,2,1,1,2,2,2,2,2,2,1,2, ,1,2,2,2,2, , , , , ,50, ,46, , ,1,1,4,1,4,4,4,1,4,2,2,1,2,3,1,1,4, , ,4,2,2,1,2,1, , ,1,2,2,8,8, , ,4,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,78,2,4,6,3,2, ,1,6, ,2, , ,55420,1.34375,0.439313345
100784,1,1,36,1,U,2,2,4,1,1,4,3,4,1,1,3,1,1,4,4,1,1,1,2,2,1,1,2,2,1, , , ,2, , , , , , , , , ,20, ,2,0, ,4,4,4,4,4,2,4,4,4,4,4,1,2,2,2,1,3,4, ,2,4,1,1,2,1,2, ,1,1,1,2,2,2, ,4,4,4,4,2, ,6, , ,6,150,2, , ,7,6,6,6,6,1,2,1,1,2,1,2,2,1,1,3,3,1,3,3,3,27,2,3,4,1,1,1,8,5,1,2, , ,10030,6.40625,2.094400832
100785,1,1,55,2,S,2,1,5,3,1,4,2,4,2,1,2,2,2,4,2,2,2, ,2, , , , , , , , , ,1,8,2,2,2, , , , , , , , , , ,4,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,4, , , ,2,4,4,3,1, , , ,8,8,5,8, , ,3,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47,2,3,1,3,2, ,2,1, ,3, , ,53719,2.71875,0.88884328
100787,1,1,6,4,S,1,2,2,6,2,3,2,2,3,2,3,4,3,3,2,1,1,1,8,2,2,2,2,2,1, , , ,1,2,2,2,2, , , , , ,2, ,2, , ,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4, ,3,4,4,2,3,3,4, , ,1,1,1,1,4, ,4,4,4,1,1, , , , ,2,5,2, , ,7,6,4,7,7,3,3,3,3,3,3,3,3,3,3,1, ,1,3,3,3,50,1,2,3,2,2, ,1,1, ,3, , ,92119,1.78125,0.582345597
100788,1,1,12,3,S,2,2,5,3,2,2,4,1,4,4,4,4,2,4,2,1,2,1,1,2,1,2,2,2,1, , , ,2, , , , , , , , , ,0, , ,3, ,1,4,1,1,4,1,1,4,4,4,1,1,4,4,4,3,4,4, ,4,1,8,8,2,1,4, , ,8,8,5,8,8, ,4,4,2,4,4, , , , ,6,4,2, , ,7,6,6,7,7,3,3,3,3,3,3,3,3,1,1,1, ,1,3,1,1,74,1,2,4,3,2, ,1,NA,2, , , ,34243,1.78125,0.582345597
100789,1,1,27,2,U,1,1,3,2,1,3,1,2,1,1,2,1,1,4,3,1,1,1,2,1,1,2,2,1,1, , , ,1,1,1,1,1,2, ,2,998,1,4, ,4,1, ,1,1,4,2,4,2,4,4,2,2,2,2,2,1,4,1,3,4,4,2,2,1,2,1,1,3,3,3,2,8,8,8,8,8,4,3,2,3,1,5, , ,3,4,50,2, , ,6,4,4,4,5,2,1,1,3,2,1,2,2,3,3,2,3,3,3,3,3,56,3,2,6,1,2, ,1,NA, ,2, , ,55441,2.1875,0.71516126
100793,1,1,29,2,R,2,1,3,1,2,2,2,3,1,2,3,1,1,3,3,1,2,1,1,2,2,2,2,2,2,2, , ,2, , , , , , , , , ,3, ,1, , ,2,2,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3, , ,3,4,2,8,2,2, , ,1,2,2,5,2, , ,3,3,4,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74,2,5,4,3,2, ,1,5,1,3, , ,65301,2.25,0.735594439
